index,mid,display_name,level_0,level_1,level_2,level_3,level_4,level_5,hierarchy_path,description
176,/m/0dwtp,Glockenspiel,Music,Musical instrument,Percussion,Mallet percussion,Glockenspiel,,Music > Musical instrument > Percussion > Mallet percussion > Glockenspiel,Sounds of a percussion instrument composed of a set of tuned metal plates or tubes laid out like the keyboard of a piano.
177,/m/0dwt5,Vibraphone,Music,Musical instrument,Percussion,Mallet percussion,Vibraphone,,Music > Musical instrument > Percussion > Mallet percussion > Vibraphone,Sounds of a tuned mallet percussion instrument similar to a xylophone or glockenspiel with the addition a motor-driven valve on each resonator that produce a tremolo or vibrato effect.
178,/m/0l156b,Steelpan,Music,Musical instrument,Percussion,Mallet percussion,Steelpan,,Music > Musical instrument > Percussion > Mallet percussion > Steelpan,Sounds of a tuned percussion instrument originally constructed from steel oil drums by hammering out small patches on the head to produce separate pitches.
179,/m/05pd6,Orchestra,Music,Musical instrument,Orchestra,,,,Music > Musical instrument > Orchestra,"The sound of a large instrumental ensemble (a dozen or more people), often used in classical music, that contains sections of string, brass, woodwind, and percussion instruments."
180,/m/01kcd,Brass instrument,Music,Musical instrument,Brass instrument,,,,Music > Musical instrument > Brass instrument,The sound of a musical instrument that produces sound by vibration of air in a tubular resonator in sympathy with the vibration of the player's lips.
181,/m/0319l,French horn,Music,Musical instrument,Brass instrument,French horn,,,Music > Musical instrument > Brass instrument > French horn,The sound of a brass instrument made of tubing wrapped into a coil with a flared bell. A modern French horn includes valves to control pitch by routing air into extra sections of tubing.
182,/m/07gql,Trumpet,Music,Musical instrument,Brass instrument,Trumpet,,,Music > Musical instrument > Brass instrument > Trumpet,"The sound of a high-pitched brass instruments played by blowing air through almost-closed lips, producing a ""buzzing"" sound that starts a standing wave vibration in the air column inside the instrument."
183,/m/07c6l,Trombone,Music,Musical instrument,Brass instrument,Trombone,,,Music > Musical instrument > Brass instrument > Trombone,The sound of a brass instrument that includes a telescoping slide mechanism that varies the length of the instrument to change the pitch.
184,/m/0l14_3,Bowed string instrument,Music,Musical instrument,Bowed string instrument,,,,Music > Musical instrument > Bowed string instrument,"Sounds of the subcategory of string instruments that are usually played by a bow rubbing the strings.  Examples may include other playing techniques for these instruments, such as plucking."
185,/m/02qmj0d,String section,Music,Musical instrument,Bowed string instrument,String section,,,Music > Musical instrument > Bowed string instrument > String section,The sound of a group of string instruments typically present in a standard classical orchestra.
186,/m/07y_7,"Violin, fiddle",Music,Musical instrument,Bowed string instrument,"Violin, fiddle",,,"Music > Musical instrument > Bowed string instrument > Violin, fiddle","The sound of a wooden string instrument, typically with four strings tuned in perfect fifths, that is most commonly played by drawing a bow across its strings, though it can also be played by plucking the strings."
187,/m/0d8_n,Pizzicato,Music,Musical instrument,Bowed string instrument,"Violin, fiddle",Pizzicato,,"Music > Musical instrument > Bowed string instrument > Violin, fiddle > Pizzicato",The sound of playing a stringed instrument that is usually bowed (such as a violin) by plucking the strings with the fingers.
188,/m/01xqw,Cello,Music,Musical instrument,Bowed string instrument,Cello,,,Music > Musical instrument > Bowed string instrument > Cello,"The sound of a larger, lower-pitched bowed string instrument with four strings tuned in perfect fifths, usually C2, G2, D3, and A3."
189,/m/02fsn,Double bass,Music,Musical instrument,Bowed string instrument,Double bass,,,Music > Musical instrument > Bowed string instrument > Double bass,"The sound of a large, bowed string instrument, the lowest-pitched in a standard symphony orchestra, with strings usually tuned to E1, A1, D2, and G2."
190,/m/085jw,"Wind instrument, woodwind instrument",Music,Musical instrument,"Wind instrument, woodwind instrument",,,,"Music > Musical instrument > Wind instrument, woodwind instrument",Sounds of a family of musical instruments in which a column of air within a resonator is set into vibration by the player blowing into a mouthpiece set at the end of the resonator.
191,/m/0l14j_,Flute,Music,Musical instrument,"Wind instrument, woodwind instrument",Flute,,,"Music > Musical instrument > Wind instrument, woodwind instrument > Flute",The sound of an aerophone or reedless wind instrument that produces its sound from the flow of air across an opening.
192,/m/06ncr,Saxophone,Music,Musical instrument,"Wind instrument, woodwind instrument",Saxophone,,,"Music > Musical instrument > Wind instrument, woodwind instrument > Saxophone",The sound of a woodwind instrument made of brass and played with a single-reed mouthpiece similar to that of the clarinet.
193,/m/01wy6,Clarinet,Music,Musical instrument,"Wind instrument, woodwind instrument",Clarinet,,,"Music > Musical instrument > Wind instrument, woodwind instrument > Clarinet","The sound of a woodwind instrument consisting of a single-reed mouthpiece, a straight cylindrical tube with an almost cylindrical bore, and a flared bell."
194,/m/03m5k,Harp,Music,Musical instrument,Harp,,,,Music > Musical instrument > Harp,"The sound of a stringed musical instrument with a number of individual strings, plucked with the fingers, running at an angle to its soundboard."
195,/m/0395lw,Bell,Sounds of things,Bell,,,,,Sounds of things > Bell,"The sound of a simple instrument usually consisting of metal cast in the shape of a hollow cup, whose sides form a resonator which vibrates in a single tone upon being struck by a ""clapper"" suspended within, or by a separate mallet or hammer."
196,/m/03w41f,Church bell,Sounds of things,Bell,Church bell,,,,Sounds of things > Bell > Church bell,The sound of a large bell usually encountered in churches where it used either to signify the hour or the time for worshippers to go to church.
197,/m/027m70_,Jingle bell,Sounds of things,Bell,Jingle bell,,,,Sounds of things > Bell > Jingle bell,"The sound of a type of bell which produces a distinctive 'jingle' sound, especially in large numbers. They are commonly produced from a single piece of sheet metal bent into a roughly spherical shape containing a small ball bearing."
198,/m/0gy1t2s,Bicycle bell,Sounds of things,Alarm,Bicycle bell,,,,Sounds of things > Alarm > Bicycle bell,The sound of a percussive signaling instrument mounted on a bicycle for warning pedestrians and other cyclists.
199,/m/07n_g,Tuning fork,Sounds of things,Bell,Tuning fork,,,,Sounds of things > Bell > Tuning fork,The sound of an acoustic resonator in the form of a two-pronged fork with the prongs formed from a U-shaped bar of elastic metal. It emits a pure musical tone and is frequently used as a standard of pitch to tune musical instruments.
200,/m/0f8s22,Chime,Sounds of things,Bell,Chime,,,,Sounds of things > Bell > Chime,"The sound of a musical instrument consisting of multiple tuned bells, usually rung by an automated mechanism to produce a short, characteristic tone or melody."
201,/m/026fgl,Wind chime,Sounds of things,Bell,Chime,Wind chime,,,Sounds of things > Bell > Chime > Wind chime,"The sound of an instrument constructed from suspended tubes, rods, bells, or other objects that are often made of metal or wood along with some type of weight the tubes or rods can strike when they or another wind-catching surface are blown by the natural movement of air outside."
202,/m/0150b9,Change ringing (campanology),Sounds of things,Bell,Change ringing (campanology),,,,Sounds of things > Bell > Change ringing (campanology),Sounds of the art of ringing a set of (typically large) tuned bells in a controlled manner to produce variations in their sounding order.
